광역시도,시군구,행정구,구분,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
부산, 수영구,,여자,86904,7408,3006,4673,6526,5390,6061,5503,6737,6744,7883,8374,6340,4923,3685,2242,1409
부산, 사상구,,계,209051,20549,8650,13055,15270,12245,14358,13416,16062,19365,22341,19769,13418,9224,6371,3364,1594
부산, 사상구,,남자,104170,10532,4436,6196,8267,6574,7529,7094,8122,9302,11006,9764,6533,4348,2858,1178,431
부산, 사상구,,여자,104881,10017,4214,6859,7003,5671,6829,6322,7940,10063,11335,10005,6885,4876,3513,2186,1163
부산, 기장군,,계,154532,27095,6762,5957,7490,8886,15140,14760,13772,10861,10493,10349,7885,6129,4627,2737,1589
부산, 기장군,,남자,75833,13903,3467,2911,3918,4307,7456,7509,7185,5465,5101,4746,3589,2835,1993,1021,427
부산, 기장군,,여자,78699,13192,3295,3046,3572,4579,7684,7251,6587,5396,5392,5603,4296,3294,2634,1716,1162
대구,소계,,계,2332499,289897,116524,138834,153660,131876,167239,171737,209381,210760,208452,174908,123485,90289,74618,45796,25043
대구,소계,,남자,1142297,149391,60065,66736,82626,69862,83505,84757,102214,102438,101481,84610,57813,40696,31142,17332,7629
대구,소계,,여자,1190202,140506,56459,72098,71034,62014,83734,86980,107167,108322,106971,90298,65672,49593,43476,28464,17414
대구, 중구,,계,72483,7663,2572,4370,6198,5060,5800,4809,5505,5333,5581,5356,4150,3653,3280,1992,1161
대구, 중구,,남자,34690,3957,1257,1819,3117,2605,2972,2471,2750,2606,2703,2520,1837,1538,1407,785,346
대구, 중구,,여자,37793,3706,1315,2551,3081,2455,2828,2338,2755,2727,2878,2836,2313,2115,1873,1207,815
대구, 동구,,계,328007,39459,12922,16527,20907,19741,25029,23782,26236,26902,29018,26967,20372,15518,12868,7726,4033
대구, 동구,,남자,160082,20358,6645,7894,11254,10345,12723,12358,13298,12935,13708,12594,9387,6942,5409,2982,1250
대구, 동구,,여자,167925,19101,6277,8633,9653,9396,12306,11424,12938,13967,15310,14373,10985,8576,7459,4744,2783
대구, 서구,,계,167446,12994,6388,9419,11618,8565,9795,9937,13258,16125,18293,16237,12416,8966,7273,4139,2023
대구, 서구,,남자,83008,6640,3350,4660,6446,4959,5313,5350,6875,7970,8911,7644,5745,4014,3010,1569,552
대구, 서구,,여자,84438,6354,3038,4759,5172,3606,4482,4587,6383,8155,9382,8593,6671,4952,4263,2570,1471
대구, 남구,,계,141016,10978,5294,9057,10293,8035,9018,8705,11143,11626,12886,12762,9860,7822,6780,4295,2462
