광역시도,시군구,20~39세계,20~39세남자,20~39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역
전북,완주군,19047,9954,9093,18469,8028,10441,86410,43862,42548,0.9846770263685094,True
전북,익산시,64767,34073,30694,49006,21185,27821,270779,134541,136238,1.2526629392319308,False
전북,임실군,4078,2125,1953,8782,3657,5125,25064,12476,12588,0.4447734001366431,True
전북,장수군,2972,1550,1422,6777,2807,3970,20084,9869,10215,0.4196547144754316,True
전북,정읍시,17454,9102,8352,27007,11097,15910,99749,49037,50712,0.6185063131780649,True
전북,진안군,3123,1562,1561,7722,3289,4433,22048,10926,11122,0.4042994042994043,True
제주,서귀포시,34640,17312,17328,31129,13284,17845,164899,82173,82726,1.1133027080857079,False
제주,제주시,114518,57226,57292,61965,26514,35451,458548,227688,230860,1.8491729201968854,False
충남,계룡시,8354,4243,4111,4456,1927,2529,40062,19798,20264,1.845152603231598,False
충남,공주시,21079,11002,10077,24031,10464,13567,98934,49143,49791,0.8386667221505555,True
충남,금산군,8222,4477,3745,14314,6113,8201,48333,24142,24191,0.5232639374039402,True
충남,논산시,21283,11224,10059,27347,11591,15756,109021,53875,55146,0.735656561962921,True
충남,당진시,37981,21107,16874,27802,12320,15482,156610,81970,74640,1.2138695057909503,False
충남,동남구,69793,35452,34341,32604,14389,18215,251256,125551,125705,2.106551343393449,False
충남,보령시,17433,9513,7920,23385,9981,13404,93070,46468,46602,0.6773572803078897,True
충남,부여군,9004,4875,4129,20327,8693,11634,60848,29958,30890,0.4062576868204851,True
충남,서북구,123468,63338,60130,30501,13197,17304,375397,189764,185633,3.94282154683453,False
충남,서산시,37824,20539,17285,29258,12817,16441,163658,83783,79875,1.1815571809419645,False
충남,서천군,6788,3771,3017,17125,7210,9915,48065,23558,24507,0.35235036496350364,True
충남,아산시,82081,42949,39132,37285,15927,21358,298717,152655,146062,2.099074694917527,False
충남,예산군,12312,6690,5622,22163,9585,12578,73032,36332,36700,0.5073320398862969,True
충남,청양군,4356,2427,1929,10023,4365,5658,28735,14435,14300,0.3849146961987429,True
충남,태안군,9463,5341,4122,17252,7663,9589,57081,28668,28413,0.4778576396939485,True
충남,홍성군,19959,10303,9656,21525,9143,12382,94962,46923,48039,0.8971893147502904,True
충북,괴산군,5135,2976,2159,11428,5023,6405,34160,17360,16800,0.37784389219460973,True
충북,단양군,3842,2096,1746,7955,3481,4474,26478,13293,13185,0.43896920175989945,True
충북,보은군,4288,2339,1949,10025,4255,5770,29945,14864,15081,0.3888279301745636,True
충북,상당구,39870,20426,19444,25585,11028,14557,167873,82711,85162,1.519953097518077,False
충북,서원구,53447,27838,25609,26464,11415,15049,197002,97386,99616,1.9353839177750907,False
충북,영동군,7450,4056,3394,13433,5701,7732,44563,22177,22386,0.5053227127224,True
충북,옥천군,7557,4027,3530,13177,5705,7472,46182,22957,23225,0.5357820444714275,True
충북,음성군,18696,10207,8489,16864,7459,9405,85751,44540,41211,1.006759962049336,False
충북,제천시,26688,14204,12484,26116,11618,14498,126666,63363,63303,0.9560422729361311,True
충북,증평군,9059,4972,4087,5720,2460,3260,35464,18166,17298,1.4290209790209791,False
충북,진천군,18978,10355,8623,12143,5177,6966,76197,39378,36819,1.4202421147986495,False
충북,청원구,57755,30875,26880,21908,9432,12476,188723,95997,92726,2.4538981194084353,False
충북,충주시,47183,25700,21483,37574,16091,21483,201057,101311,99746,1.1435034864533986,False
충북,흥덕구,75036,38895,36141,26340,11543,14797,248926,124808,124118,2.7441913439635535,False
