상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,빽다방 매장수
빽다방,동탄솔빛나루점,경기도 화성시 동탄중앙로 76,127.072512708911,37.1931780568302,경기도,화성시,화성,빽다방,1
빽다방,용인동백역점,경기도 용인시 기흥구 동백중앙로 175,127.154150844501,37.2699593175951,경기도,기흥구,기흥,빽다방,1
빽다방분당서현점,분당서현점,경기도 성남시 분당구 황새울로 325,127.12141584722299,37.385555637575294,경기도,분당구,분당,빽다방,1
빽다방,분당정자엠코점,경기도 성남시 분당구 정자일로 146,127.106336892176,37.36301479127879,경기도,분당구,분당,빽다방,1
빽다방,동백쥬네브점,경기도 용인시 기흥구 동백중앙로 283,127.153661963657,37.277371852882,경기도,기흥구,기흥,빽다방,1
빽다방,의정민락위드점,경기도 의정부시 오목로205번길 22,127.097651397442,37.74540014607071,경기도,의정부시,의정부,빽다방,1
빽다방,수원권선이마트점,경기도 수원시 권선구 덕영대로1201번길 28,127.022913750709,37.2503504056181,경기도,권선구,권선,빽다방,1
빽다방,흥덕이마트점,경기도 용인시 기흥구 흥덕2로87번길 18,127.071577697461,37.27590050141411,경기도,기흥구,기흥,빽다방,1
빽다방,화성향남중앙점,경기도 화성시 향남읍 행정중앙2로 63-34,126.92255949683201,37.1305715137339,경기도,화성시,화성,빽다방,1
빽다방,,경기도 군포시 고산로 248,126.94485652964799,37.3462852108419,경기도,군포시,군포,빽다방,1
빽다방수원역점,수원역점,경기도 수원시 팔달구 향교로 9-1,127.002234731855,37.267893366428794,경기도,팔달구,팔달,빽다방,1
빽다방,미금역천사점,경기도 성남시 분당구 성남대로 165,127.108299453743,37.350756869622295,경기도,분당구,분당,빽다방,1
빽다방,의왕계원예대점,경기도 의왕시 계원대학로 40,126.975799801259,37.378977716389606,경기도,의왕시,의왕,빽다방,1
빽다방,남양주덕소점,경기도 남양주시 와부읍 덕소로 88,127.212009427531,37.5863663843955,경기도,남양주시,남양주,빽다방,1
빽다방김포구래점,김포구래점,경기도 김포시 김포한강9로76번길 49,126.626569531642,37.6447342239861,경기도,김포시,김포,빽다방,1
빽다방파주운정이마트점,파주운정이마트점,경기도 파주시 와석순환로 125,126.74582920299801,37.7121062229514,경기도,파주시,파주,빽다방,1
빽다방동탄영천한백점,동탄영천한백점,경기도 화성시 지산2길 4-2,127.112649782612,37.2062631544509,경기도,화성시,화성,빽다방,1
