,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x
147,서울,금천구,67481,32331,34691,219896,110152,109744,1.8639416563373785,False,서울 금천,8,5
148,서울,노원구,131084,66657,76136,504967,241951,263016,1.7509982137228117,False,서울 노원,2,6
149,서울,도봉구,81619,41366,55474,315032,152106,162926,1.4913653242960667,False,서울 도봉,2,5
150,서울,동대문구,103780,51838,54777,327897,160582,167315,1.8926921883272176,False,서울 동대문,4,7
151,서울,동작구,123540,63236,58255,374478,180291,194187,2.1710067805338595,False,서울 동작,6,5
152,서울,마포구,118571,64500,47926,348755,163126,185629,2.6916496265075325,False,서울 마포,5,5
153,서울,서대문구,90833,47970,47748,291958,137971,153987,2.009298818798693,False,서울 서대문,4,5
154,서울,서초구,108033,58717,52440,391520,185921,205599,2.239397406559878,False,서울 서초,7,6
155,서울,성동구,91871,47313,40757,283330,137125,146205,2.3217116078219693,False,서울 성동,5,7
156,서울,성북구,123727,64579,65389,418403,200642,217761,1.975225190781324,False,서울 성북,3,6
157,서울,송파구,190322,101198,81962,629275,301491,327784,2.469388253092897,False,서울 송파,6,8
158,서울,양천구,108836,56142,57720,429819,208741,221078,1.9453222453222454,False,서울 양천,7,4
159,서울,영등포구,113318,58287,52455,341509,167114,174395,2.222362024592508,False,서울 영등포,8,4
160,서울,용산구,64265,33888,32923,204196,97390,106806,2.0586216322935336,False,서울 용산,6,6
161,서울,은평구,124564,65072,74710,447693,213158,234535,1.741989024227011,False,서울 은평,5,4
162,서울,종로구,40758,20957,23700,136649,65594,71055,1.7685232067510548,False,서울 종로,4,6
163,서울,중구,37325,19327,19765,115665,55820,59845,1.955679230963825,False,서울 중구,5,6
164,서울,중랑구,108476,54584,61294,374640,183357,191283,1.781055241948641,False,서울 중랑,4,8
165,세종,세종시,93067,47728,29227,321495,159457,162038,3.2660211448318335,False,세종,13,4
166,울산,남구,82578,38741,34419,307294,155232,152062,2.251140358522909,False,울산 남구,15,12
167,울산,동구,39771,18492,17097,151207,77870,73337,2.1631865239515706,False,울산 동구,14,12
168,울산,북구,57905,28030,15219,205269,104664,100605,3.683553452920691,False,울산 북구,13,12
169,울산,울주군,48404,22638,27838,207367,105698,101669,1.626409943243049,False,울산 울주,14,11
170,울산,중구,52459,24879,29334,212450,106869,105581,1.6962569032521988,False,울산 중구,15,11
171,인천,강화군,9079,4265,19402,60622,30141,30481,0.4396453973817132,True,인천 강화,5,1
172,인천,계양구,79401,39652,32634,288422,141983,146439,2.4301035729607157,False,인천 계양,7,2
173,인천,남동구,139243,69710,62739,508503,250015,258488,2.2222222222222223,False,인천 남동,10,2
174,인천,동구,13526,6549,12858,60791,30224,30567,1.0186654223051796,False,인천 동구,6,2
175,인천,미추홀구,110480,52588,62042,391216,195241,195975,1.695238709261468,False,인천 미추홀,9,2
176,인천,부평구,136229,68137,65451,487471,238604,248867,2.0820766680417413,False,인천 부평,8,2
177,인천,서구,144517,72497,49718,515884,257587,258297,2.9163280904300253,False,인천 서구,6,1
178,인천,연수구,95482,48745,32424,345349,170243,175106,3.0067234147545028,False,인천 연수,10,1
179,인천,옹진군,3675,1291,4623,17746,9801,7945,0.5585117888816785,True,인천 옹진,10,0
180,인천,중구,35567,17264,17176,123549,63147,60402,2.0102468560782487,False,인천 중구,9,1
181,전남,강진군,4568,2263,10775,30984,14729,16255,0.42004640371229696,True,강진,24,1
182,전남,고흥군,6823,3131,23336,57330,27685,29645,0.26834076105587934,True,고흥,22,5
183,전남,곡성군,3932,1773,9129,25420,12377,13043,0.38843246795925074,True,곡성,21,3
184,전남,광양시,32494,15237,17573,136701,69766,66935,1.7341375974506346,False,광양,21,5
185,전남,구례군,3138,1529,7798,22648,10860,11788,0.39215183380353935,True,구례,20,4
186,전남,나주시,24039,11951,22275,102246,50367,51879,1.0730415263748596,False,나주,22,1
187,전남,담양군,6745,3210,12503,39391,19376,20015,0.5134767655762617,True,담양,20,2
188,전남,목포시,50155,24700,34227,217091,107238,109853,1.4433049931340753,False,목포,22,0
189,전남,무안군,16346,7887,14833,73190,36499,36691,1.0634396278568057,False,무안,21,1
190,전남,보성군,4721,2235,13817,35928,17253,18675,0.3235145111095028,True,보성,24,3
191,전남,순천시,62033,30704,38896,258508,127392,131116,1.578774167009461,False,순천,22,4
192,전남,신안군,4625,1893,12414,33248,17302,15946,0.304978250362494,True,신안,21,0
193,전남,여수시,57128,26312,47866,257459,129856,127603,1.0994024986420423,False,여수,23,4
194,전남,영광군,8339,4021,13560,46722,22997,23725,0.5930678466076696,True,영광,19,1
195,전남,영암군,9127,4164,12694,49208,25034,24174,0.6560579801481015,True,영암,23,1
196,전남,완도군,6845,3027,14341,44786,22541,22245,0.42214629384282826,True,완도,25,2
197,전남,장성군,6561,3166,11511,38235,18789,19446,0.5500825297541482,True,장성,19,2
198,전남,장흥군,5138,2460,11638,34009,16311,17698,0.4227530503522942,True,장흥,24,2
199,전남,진도군,3887,1739,9188,26956,13233,13723,0.3785372224640836,True,진도,24,0
200,전남,함평군,3847,1728,10199,27888,13806,14082,0.3388567506618296,True,함평,20,1
201,전남,해남군,9221,4520,19832,61147,29830,31317,0.45582896329164985,True,해남,23,0
202,전남,화순군,9692,4837,14657,55338,26670,28668,0.6600259261786178,True,화순,21,4
203,전북,고창군,7410,3451,16964,49705,24257,25448,0.4068615892478189,True,고창,18,1
204,전북,군산시,58341,28080,44223,253097,126535,126562,1.2699274133369514,False,군산,16,2
205,전북,김제시,12643,6020,23275,75211,36619,38592,0.5172932330827068,True,김제,17,3
206,전북,남원시,12442,6092,20231,73845,35836,38009,0.6022440808659977,True,남원,18,5
207,전북,덕진구,82008,40450,40176,303902,150420,153482,2.0136399840700916,False,전주 덕진,18,3
208,전북,무주군,3071,1449,7291,21857,10779,11078,0.39747634069400634,True,무주,16,5
209,전북,부안군,7273,3412,15492,47159,23144,24015,0.4404854118254583,True,부안,17,2
210,전북,순창군,3732,1942,8467,25304,12130,13174,0.45872209755521437,True,순창,20,3
211,전북,완산구,82950,41666,48062,324110,157102,167008,1.7338437851108983,False,전주 완산,19,3
212,전북,완주군,19047,9093,18469,86410,43862,42548,0.9846770263685094,True,완주,17,4
213,전북,익산시,64767,30694,49006,270779,134541,136238,1.2526629392319308,False,익산,16,3
214,전북,임실군,4078,1953,8782,25064,12476,12588,0.4447734001366431,True,임실,19,4
215,전북,장수군,2972,1422,6777,20084,9869,10215,0.4196547144754316,True,장수,17,5
216,전북,정읍시,17454,8352,27007,99749,49037,50712,0.6185063131780649,True,정읍,18,2
217,전북,진안군,3123,1561,7722,22048,10926,11122,0.4042994042994043,True,진안,18,4
218,제주,서귀포시,34640,17328,31129,164899,82173,82726,1.1133027080857079,False,서귀포,26,5
219,제주,제주시,114518,57292,61965,458548,227688,230860,1.8491729201968854,False,제주,25,5
220,충남,계룡시,8354,4111,4456,40062,19798,20264,1.845152603231598,False,계룡,14,4
221,충남,공주시,21079,10077,24031,98934,49143,49791,0.8386667221505555,True,공주,12,4
222,충남,금산군,8222,3745,14314,48333,24142,24191,0.5232639374039402,True,금산,15,3
223,충남,논산시,21283,10059,27347,109021,53875,55146,0.735656561962921,True,논산,14,3
224,충남,당진시,37981,16874,27802,156610,81970,74640,1.2138695057909503,False,당진,12,1
225,충남,동남구,69793,34341,32604,251256,125551,125705,2.106551343393449,False,천안 동남,11,2
226,충남,보령시,17433,7920,23385,93070,46468,46602,0.6773572803078897,True,보령,13,2
227,충남,부여군,9004,4129,20327,60848,29958,30890,0.4062576868204851,True,부여,14,2
228,충남,서북구,123468,60130,30501,375397,189764,185633,3.94282154683453,False,천안 서북,11,3
229,충남,서산시,37824,17285,29258,163658,83783,79875,1.1815571809419645,False,서산,13,1
230,충남,서천군,6788,3017,17125,48065,23558,24507,0.35235036496350364,True,서천,15,2
231,충남,아산시,82081,39132,37285,298717,152655,146062,2.099074694917527,False,아산,11,1
232,충남,예산군,12312,5622,22163,73032,36332,36700,0.5073320398862969,True,예산,12,3
233,충남,청양군,4356,1929,10023,28735,14435,14300,0.3849146961987429,True,청양,13,3
234,충남,태안군,9463,4122,17252,57081,28668,28413,0.4778576396939485,True,태안,11,0
235,충남,홍성군,19959,9656,21525,94962,46923,48039,0.8971893147502904,True,홍성,12,2
236,충북,괴산군,5135,2159,11428,34160,17360,16800,0.37784389219460973,True,괴산,12,8
237,충북,단양군,3842,1746,7955,26478,13293,13185,0.43896920175989945,True,단양,11,7
238,충북,보은군,4288,1949,10025,29945,14864,15081,0.3888279301745636,True,보은,13,8
239,충북,상당구,39870,19444,25585,167873,82711,85162,1.519953097518077,False,청주 상당,14,6
240,충북,서원구,53447,25609,26464,197002,97386,99616,1.9353839177750907,False,청주 서원,14,7
241,충북,영동군,7450,3394,13433,44563,22177,22386,0.5053227127224,True,영동,15,7
242,충북,옥천군,7557,3530,13177,46182,22957,23225,0.5357820444714275,True,옥천,15,6
243,충북,음성군,18696,8489,16864,85751,44540,41211,1.006759962049336,False,음성,11,5
244,충북,제천시,26688,12484,26116,126666,63363,63303,0.9560422729361311,True,제천,10,7
245,충북,증평군,9059,4087,5720,35464,18166,17298,1.4290209790209791,False,증평,13,6
246,충북,진천군,18978,8623,12143,76197,39378,36819,1.4202421147986495,False,진천,12,5
247,충북,청원구,57755,26880,21908,188723,95997,92726,2.4538981194084353,False,청주 청원,13,7
248,충북,충주시,47183,21483,37574,201057,101311,99746,1.1435034864533986,False,충주,12,6
249,충북,흥덕구,75036,36141,26340,248926,124808,124118,2.7441913439635535,False,청주 흥덕,12,7
