상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,커피빈 매장수
커피빈,코리아역삼역4번출구점,서울특별시 강남구 테헤란로 143,127.034884401544,37.50064077948029,서울특별시,강남구,서울 강남,커피빈,1
커피빈,광장동대한제지점,서울특별시 광진구 아차산로 563,127.102911969818,37.544130344049,서울특별시,광진구,서울 광진,커피빈,1
커피빈코리아강남구청앞점,코리아강남구청앞점,서울특별시 강남구 학동로 423,127.04661269709699,37.5184147126149,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아명동증권빌딩점,서울특별시 중구 명동7길 13,126.983952741813,37.564341196302706,서울특별시,중구,서울 중구,커피빈,1
커피빈,코리아삼성생명강남사옥점,서울특별시 서초구 서초대로74길 4,127.025683828146,37.4967357683727,서울특별시,서초구,서울 서초,커피빈,1
커피빈,코리아공항터미널2호점,서울특별시 강남구 테헤란로87길 22,127.059426824816,37.509624041536796,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아서초우성아파트앞점,코리아서초우성아파트앞점,서울특별시 서초구 사임당로 171,127.028336934523,37.492720890857704,서울특별시,서초구,서울 서초,커피빈,1
커피빈,코리아대치은마점,서울특별시 강남구 영동대로 211,127.068806483655,37.497561118625995,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아대치한티점,서울특별시 강남구 선릉로64길 23,127.05415180863999,37.498291685952,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아테헤란로비젼타워점,서울특별시 강남구 테헤란로 312,127.045033948395,37.5029308525436,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아신촌대로점,서울특별시 서대문구 신촌로 113,126.93855689045,37.5559675754759,서울특별시,서대문구,서울 서대문,커피빈,1
커피빈코리아신림점,코리아신림점,서울특별시 관악구 신림로 318,126.930369254436,37.4826026900191,서울특별시,관악구,서울 관악,커피빈,1
커피빈코리아신사점,코리아신사점,서울특별시 강남구 도산대로 126,127.02238935035,37.5169552228844,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아서초우성점,서울특별시 서초구 강남대로51길 1,127.030244120753,37.4912768507143,서울특별시,서초구,서울 서초,커피빈,1
커피빈,코리아목동점,서울특별시 양천구 목동동로 293,126.875752563272,37.5281659049786,서울특별시,양천구,서울 양천,커피빈,1
커피빈,코리아고대안암역점,서울특별시 성북구 개운사길 8,127.029558656269,37.5869806658445,서울특별시,성북구,서울 성북,커피빈,1
커피빈,코리아신촌점,서울특별시 서대문구 연세로 8-1,126.93728406837499,37.556334562389104,서울특별시,서대문구,서울 서대문,커피빈,1
커피빈,코리아강남에스점,서울특별시 서초구 강남대로 423,127.02579578825001,37.500304869454006,서울특별시,서초구,서울 서초,커피빈,1
커피빈,코리아테헤란로하이닉스뒷점,서울특별시 강남구 테헤란로70길 12,127.05314307701299,37.504735168954,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아이태원점,코리아이태원점,서울특별시 용산구 이태원로 189,126.994898468403,37.5348445682058,서울특별시,용산구,서울 용산,커피빈,1
커피빈,코리아시청역7번출구점,서울특별시 중구 세종대로 84,126.97715929531799,37.5636518048491,서울특별시,중구,서울 중구,커피빈,1
커피빈,차병원사거리점,서울특별시 강남구 봉은사로 207,127.03464470425199,37.5078382482953,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아구로지밸리몰점,서울특별시 구로구 디지털로 300,126.89652780139,37.4849135072657,서울특별시,구로구,서울 구로,커피빈,1
커피빈,코리아논현동수면세터점,서울특별시 강남구 논현로 717,127.029517689597,37.5159507677051,서울특별시,강남구,서울 강남,커피빈,1
커피빈치,,서울특별시 은평구 응암로 302-1,126.921048245303,37.5983197298652,서울특별시,은평구,서울 은평,커피빈,1
커피빈,,서울특별시 영등포구 영등포로9길 46,126.887489608661,37.524799040978706,서울특별시,영등포구,서울 영등포,커피빈,1
커피빈,코리아현대자동차성내점,서울특별시 강동구 천호대로 1096,127.133218679549,37.5351929599763,서울특별시,강동구,서울 강동,커피빈,1
커피빈코리아낙성대역점,코리아낙성대역점,서울특별시 관악구 남부순환로 1909,126.96159324063801,37.4781056688261,서울특별시,관악구,서울 관악,커피빈,1
커피빈,코리아역삼포스틸타워뒷점,서울특별시 강남구 테헤란로20길 10,127.03412419342101,37.4990757403139,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아오목교역사거리점,코리아오목교역사거리점,서울특별시 양천구 오목로 350,126.87625414675101,37.5241430317764,서울특별시,양천구,서울 양천,커피빈,1
커피빈,코리아시흥홈플러스점,서울특별시 금천구 시흥대로 201,126.900776713123,37.4518935872289,서울특별시,금천구,서울 금천,커피빈,1
커피빈,코리아마리오아울렛점,서울특별시 금천구 디지털로9길 23,126.88646603159701,37.4787100009043,서울특별시,금천구,서울 금천,커피빈,1
커피빈,코리아을지로입구역점,서울특별시 중구 남대문로10길 6,126.983227937665,37.566866884039605,서울특별시,중구,서울 중구,커피빈,1
커피빈코리아구로디지털단지점,코리아구로디지털단지점,서울특별시 구로구 디지털로 273,126.894088426936,37.483944598211295,서울특별시,구로구,서울 구로,커피빈,1
커피빈코리아천호현대백화점옆,,서울특별시 강동구 천호대로 1015-14,127.12519757952101,37.538963301202,서울특별시,강동구,서울 강동,커피빈,1
커피빈,코리아여의도교보증권점,서울특별시 영등포구 의사당대로 97,126.92457332308099,37.5225024956653,서울특별시,영등포구,서울 영등포,커피빈,1
커피빈,코리아이태원제일기획옆점,서울특별시 용산구 이태원로 220,126.998463192105,37.5348027710382,서울특별시,용산구,서울 용산,커피빈,1
커피빈,코리아여의도중앙점,서울특별시 영등포구 국회대로68길 17,126.920093467271,37.5287779300589,서울특별시,영등포구,서울 영등포,커피빈,1
커피빈코리아방배역점,코리아방배역점,서울특별시 서초구 효령로 117,126.996925642159,37.481456482557604,서울특별시,서초구,서울 서초,커피빈,1
커피빈,코리아압구정현대아파트점,서울특별시 강남구 압구정로29길 65,127.026981632115,37.5317974156021,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아역삼점,코리아역삼점,서울특별시 강남구 논현로 512,127.036502483304,37.502338961594,서울특별시,강남구,서울 강남,커피빈,1
커피빈,신촌역앞점,서울특별시 서대문구 신촌역로 20,126.943118057552,37.5583692188785,서울특별시,서대문구,서울 서대문,커피빈,1
커피빈,코리아천호동행복빌딩점,서울특별시 강동구 구천면로 202,127.127074087312,37.5400944963541,서울특별시,강동구,서울 강동,커피빈,1
커피빈코리아인사점,코리아인사점,서울특별시 종로구 인사동4길 18,126.98732206347401,37.572984105237005,서울특별시,종로구,서울 종로,커피빈,1
커피빈,코리아강남대로점,서울특별시 서초구 강남대로 369,127.028197228786,37.4956481730487,서울특별시,서초구,서울 서초,커피빈,1
커피빈,코리아강서홈플러스점,서울특별시 강서구 화곡로 398,126.854800245129,37.5584556189768,서울특별시,강서구,서울 강서,커피빈,1
커피빈코리아테헤란로비,,서울특별시 강남구 테헤란로 312,127.045033948395,37.5029308525436,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아상봉엔터식스점,서울특별시 중랑구 망우로 353,127.091605360196,37.5983230687909,서울특별시,중랑구,서울 중랑,커피빈,1
커피빈코리아CBTL서울,,서울특별시 중구 한강대로 416,126.973739611968,37.5554947274348,서울특별시,중구,서울 중구,커피빈,1
커피빈코리아테헤란로하이,,서울특별시 강남구 테헤란로70길 12,127.05314307701299,37.504735168954,서울특별시,강남구,서울 강남,커피빈,1
