상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,이디야 매장수
이디야커피,정자역점,경기도 성남시 분당구 정자일로 177,127.10539662597601,37.366143443261,경기도,분당구,성남 분당,이디야,1
이디야커피,분당효자촌점,경기도 성남시 분당구 돌마로486번길 6,127.133889656856,37.3770964066623,경기도,분당구,성남 분당,이디야,1
이디야커피,,경기도 남양주시 경춘로 433,127.161133314827,37.608821334939705,경기도,남양주시,남양주,이디야,1
이디야커피,천천점,경기도 수원시 장안구 만석로19번길 25-5,126.98307029543001,37.2961955440583,경기도,장안구,수원 장안,이디야,1
이디야커피,분당아름마을점,경기도 성남시 분당구 판교로 443,127.123111908647,37.4057253160881,경기도,분당구,성남 분당,이디야,1
이디야커피,오리역점,경기도 성남시 분당구 성남대로43번길 10,127.107805687887,37.3400212430051,경기도,분당구,성남 분당,이디야,1
이디야커피,마석점,경기도 남양주시 화도읍 비룡로 58,127.30196366167601,37.6572237434508,경기도,남양주시,남양주,이디야,1
이디야커피,,경기도 고양시 덕양구 충장로282번길 94-51,126.843872414622,37.63859451672779,경기도,덕양구,고양 덕양,이디야,1
이디아,,경기도 포천시 소흘읍 솔모루로 61,127.145018530531,37.827728000840104,경기도,포천시,포천,이디야,1
이디야커피,파주운정점,경기도 파주시 와석순환로 78,126.75079225953002,37.711023654064604,경기도,파주시,파주,이디야,1
이디야커피,원흥중앙점,경기도 고양시 덕양구 도래울로 105,126.871447288288,37.6350682160389,경기도,덕양구,고양 덕양,이디야,1
이디야커피,,경기도 부천시 상일로122번길 46,126.75539823471,37.489340715714704,경기도,부천시,부천,이디야,1
이디야커피,진접센트레빌점,경기도 남양주시 진접읍 부평로 32,127.198085197628,37.739936166273104,경기도,남양주시,남양주,이디야,1
이디야커피,파주금촌로터리점,경기도 파주시 번영로 18-1,126.77145350917,37.7578675303295,경기도,파주시,파주,이디야,1
이디아커피,,경기도 평택시 평택로 51,127.083286992129,36.9918887250817,경기도,평택시,평택,이디야,1
이디아와뉴욕코로넛,,경기도 안산시 단원구 화랑로 358,126.827476913732,37.3209864336782,경기도,단원구,안산 단원,이디야,1
이디야커피,시흥월곶점,경기도 시흥시 월곶중앙로 59,126.738603463253,37.388534357832,경기도,시흥시,시흥,이디야,1
이디야커피,이천이마트점,경기도 이천시 이섭대천로 1440-50,127.459110564524,37.2939757964133,경기도,이천시,이천,이디야,1
이디야커피,강남대점,경기도 용인시 기흥구 강남로 9,127.126745273615,37.271535497744104,경기도,기흥구,용인 기흥,이디야,1
이디야커피,모란역점,경기도 성남시 중원구 광명로 8,127.130118048677,37.4328182936794,경기도,중원구,성남 중원,이디야,1
이디야커피,기흥구청점,경기도 용인시 기흥구 관곡로 92,127.11349314381201,37.280492999593,경기도,기흥구,용인 기흥,이디야,1
이디야커피,수원메르디앙점,경기도 수원시 팔달구 경수대로604번길 19,127.03194735928301,37.2799353105694,경기도,팔달구,수원 팔달,이디야,1
이디야커피,의왕오전점,경기도 의왕시 원골로 14,126.967848153139,37.3585624208923,경기도,의왕시,의왕,이디야,1
이디야커피,행신중앙점,경기도 고양시 덕양구 행신로 131-11,126.83052843208598,37.620316437164,경기도,덕양구,고양 덕양,이디야,1
이디야커피점,,경기도 남양주시 화도읍 먹갓로 31,127.27429026005801,37.656894556331004,경기도,남양주시,남양주,이디야,1
이디야커피,용인구성점,경기도 용인시 기흥구 구성로 94,127.119594776658,37.2939648217139,경기도,기흥구,용인 기흥,이디야,1
이디야커피,,경기도 수원시 장안구 송원로 69,127.008697985137,37.301206733817395,경기도,장안구,수원 장안,이디야,1
이디야커피,일산고양동점,경기도 고양시 덕양구 혜음로 42,126.90227807178002,37.704179044802,경기도,덕양구,고양 덕양,이디야,1
이디야커피,야탑2호점,경기도 성남시 분당구 야탑로69번길 8,127.12681766023898,37.410519429774,경기도,분당구,성남 분당,이디야,1
이디야커피,,경기도 남양주시 진접읍 금강로유연들1길 154,127.182009629774,37.7088212300091,경기도,남양주시,남양주,이디야,1
이디아커피,,경기도 양평군 용문면 용문로 535,127.603945043862,37.497701814484294,경기도,양평군,양평,이디야,1
이디야커피,오산시청점,경기도 오산시 성호대로 130,127.07579451294399,37.1484637224589,경기도,오산시,오산,이디야,1
이디야커피,용인흥덕점,경기도 용인시 기흥구 흥덕1로79번길 2,127.07148751108801,37.2749806807776,경기도,기흥구,용인 기흥,이디야,1
이디야커피,광교경기도청점,경기도 수원시 영통구 센트럴타운로 92,127.051127274282,37.2917326723738,경기도,영통구,수원 영통,이디야,1
